stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
KENZINi,7831,KENNEDY AVE & ZINSLE AVE,,39.185981,-84.413917,,,,,,0
VINKESi,5430,VINE ST & KESSLER PL,VINE ST & KESSLER AVE,39.163113,-84.503491,,,,,,0
VINPARi,5417,VINE ST & PARKWOOD PL,,39.159017,-84.505029,,,,,,0
VINMERi,5412,VINE ST & MERZEN CT,,39.156759,-84.50533,,,,,,0
VINWESi,5014,VINE ST & WEST ST,,39.147735,-84.512621,,,,,,0
VINGLEMi,5005,VINE ST & GLENMARY AVE,,39.145441,-84.513541,,,,,,0
RAC7THi,1063,RACE ST & 7TH ST,,39.103504,-84.515363,,,,,,0
RAC6THi,1052,RACE ST & 6TH ST,,39.102273,-84.515046,,,,,,0
AL3325iw,7566,ALAMO AVE 3325,,39.16265,-84.423525,,,,,,0
MARCCINo,7565,MARBURG AVE & CENTER OF CINCI,MARBURG AVE & IBSEN AVE,39.161793,-84.424612,,,,,,0
MAD5050i,7941,MADISON RD 5050,,39.161791,-84.408832,,,,,,0
KEN6442i,7835,KENNEDY AVE 6442,6438 KENNEDY AVE,39.187033,-84.413823,,,,,,0
HAM5300o,3775,HAMILTON AVE 5300,5301 HAMILTON AVE & HOBART AVE,39.184837,-84.544172,,,,,,0
COL8420o,2671,COLERAIN AVE 8420,8420 COLERAIN RD,39.223962,-84.587392,,,,,,0
HAM4539o,3750,HAMILTON AVE 4539,,39.171963,-84.543382,,,,,,0
ROOHAMo,3286,ROOSEVELT AVE EOL,ROOSEVELT AVE & DRYRIDGE RD,39.273877,-84.561433,,,,,,0
HAM5301i,3774,HAMILTON AVE 5301,5300 HAMILTON AVE & LARCH AVE,39.184677,-84.544359,,,,,,0
KIN414o,5441,KINGS RUN DR 414,414 KINGS RUN DR & EAST EPWORTH AVE,39.176868,-84.509486,,,,,,0
NOR958o,4680,NORTH BEND RD 958,958 W NORTH BEND RD,39.201645,-84.524003,,,,,,0
NOR1008o,4703,NORTH BEND RD 1008,1008 W NORTH BEND RD,39.201893,-84.527825,,,,,,0
DAL6300o,4276,DALY RD 6300,6300 DALY RD & W NORTH BEND RD,39.203656,-84.532058,,,,,,0
DAL6426o,4281,DALY RD 6426,6426 DALY RD & W NORTH BEND RD,39.206038,-84.53185,,,,,,0
DAL6574o,4311,DALY RD 6574,6574 DALY RD & HEBRON CT,39.20959,-84.531563,,,,,,0
DAL6690o,4316,DALY RD 6690,6630 DALY RD & CENTER HILL AVE,39.210884,-84.531471,,,,,,0
DAL6710o,4318,DALY RD 6710,6710 DALY RD & HEBRON CT,39.212035,-84.531379,,,,,,0
DAL8740o,4718,DALY RD 8740,8740 DALY RD & HEMPSTEAD DR,39.22583,-84.529994,,,,,,0
DAL8989i,4722,DALY RD 8989,8989 DALY RD & CLOVERNOOK AVE,39.230247,-84.529743,,,,,,0
DAL8507i,4351,DALY RD 8507,,39.221895,-84.530621,,,,,,0
DAL6563i,4310,DALY RD 6563,6563 DALY RD & HOLLYWOOD AVE,39.208974,-84.531831,,,,,,0
NOR1325i,4271,NORTH BEND RD 1325,1325 W NORTH BEND RD,39.202436,-84.539629,,,,,,0
NOR681o,5461,NORTH BEND RD 681,681 W NORTH BEND RD,39.207608,-84.507378,,,,,,0
VINBEEi,6018,VINE ST & BEECH AVE,,39.188631,-84.486327,,,,,,0
VINOAKi,6016,VINE ST & OAK ST,,39.188015,-84.487027,,,,,,0
VINTOWi,5753,VINE ST & TOWNSHIP AVE,,39.184346,-84.491103,,,,,,0
VINMURi,5749,VINE ST & MURRAY RD,,39.180901,-84.494079,,,,,,0
GAL6350o,8948,GALBRAITH RD 6350,6350 E GALBRAITH RD,39.205541,-84.369511,,,,,,0
GALMONo,8631,GALBRAITH RD & MONROE AVE,E GALBRAITH RD & MONROE AVE,39.207396,-84.386152,,,,,,0
GALLAKo,8335,GALBRAITH RD & LAKE AVE,E GALBRAITH RD & LAKE AVE,39.208265,-84.395935,,,,,,0
GALHEMo,8050,GALBRAITH RD & HEMPHILL WAY,E GALBRAITH RD & HEMPHILL WAY,39.208748,-84.402024,,,,,,0
ROS4300,8347,4300 ROSSPLAIN DR,4300 ROSSPLAIN RD & ROSSASH RD,39.22344,-84.390747,,,,,,0
NORSPRw,2623,NORTH BEND RD & SPRUCEWOOD DR,,39.18993,-84.588349,,,,,,0
WERBOUi,2045,WERK RD & BOUDINOT AVE,,39.140434,-84.604359,,,,,,0
QUE2400i,2551,QUEEN CITY AVE 2400,,39.12865,-84.581775,,,,,,0
QUE2090i,2820,QUEEN CITY AVE 2090,2090 QUEEN CITY BYP,39.128199,-84.570111,,,,,,0
CHE5700o,2428,CHEVIOT RD 5700,,39.195742,-84.599627,,,,,,0
CHE5746o,2158,CHEVIOT RD 5746,,39.196874,-84.600552,,,,,,0
CHE7554o,2172,CHEVIOT RD 7554,,39.215924,-84.600198,,,,,,0
CHE5643i,2425,CHEVIOT RD 5643,5643 CHEVIOT RD & WHITE OAK DR,39.19444,-84.59918,,,,,,0
CHE5547i,2422,CHEVIOT RD 5547,5547 CHEVIOT RD & WHITE OAK DR,39.192986,-84.5992,,,,,,0
COL4584o,3524,COLERAIN AVE 4584,,39.169585,-84.557864,,,,,,0
COL5542o,2918,COLERAIN AVE 5542,5542 COLERAIN AVE & KIRBY RD,39.192501,-84.571609,,,,,,0
COL5600o,2921,COLERAIN AVE 5600,5600 COLERAIN AVE & KIRBY RD,39.193687,-84.573037,,,,,,0
COL5747o,2930,COLERAIN AVE 5747,,39.198686,-84.578165,,,,,,0
COL9200o,2481,COLERAIN AVE 9200,9200 COLERAIN RD & COMPTON RD,39.237901,-84.592648,,,,,,0
COL9336o,2484,COLERAIN AVE 9336,9336 COLERAIN RD,39.241032,-84.593836,,,,,,0
COL8340i,2670,COLERAIN AVE 8340,8340 COLERAIN RD,39.223061,-84.587273,,,,,,0
COL6999i,2647,COLERAIN AVE 6999,6999 COLERAIN RD,39.210644,-84.584255,,,,,,0
COL6831i,2646,COLERAIN AVE 6831,6831 COLERAIN RD,39.209146,-84.583913,,,,,,0
COLEARi,2642,COLERAIN AVE & EARL AVE,COLERAIN RD,39.205391,-84.58283,,,,,,0
COL5939i,2639,COLERAIN AVE 5939,5939 COLERAIN RD,39.201682,-84.580333,,,,,,0
COL5611i,2922,COLERAIN AVE 5611,,39.194533,-84.574359,,,,,,0
COL4712i,3523,COLERAIN AVE 4712,,39.168881,-84.556963,,,,,,0
GLE6173i,1502,GLENWAY AVE 6173,,39.143933,-84.622117,,,,,,0
GLE6160o,1503,GLENWAY AVE 6160,GLENWAY AVE & FEDERAL DR,39.143943,-84.621743,,,,,,0
PAR3330o,1511,PARKCREST LN 3330,3330 PARKCREST LN & FEDERAL DR,39.146164,-84.621761,,,,,,0
MU&ROi,1466,MUDDY CREEK RD & ROBINET DR,,39.134861,-84.621148,,,,,,0
SY2051i,1448,SYLVED LN 2051,,39.128819,-84.622043,,,,,,0
SI5283i,1672,SIDNEY AVE 5283,,39.125315,-84.614189,,,,,,0
SI5259i,1670,SIDNEY AVE 5259,5255 SIDNEY AVE,39.124915,-84.612974,,,,,,0
CO&SUi,1961,COVEDALE AVE & SUMTER AVE,,39.122069,-84.606826,,,,,,0
GRAGLEi,3058,GRAND AVE & GLENVIEW PL,GRAND AVE & PHILLIPS AVE,39.104109,-84.561196,,,,,,0
GLE6139i,1501,GLENWAY AVE 6139,,39.143408,-84.621065,,,,,,0
PARHOMo,1509,PARKCREST LN & HOME DEPOT,PARKCREST LN & Home Depot Entrance,39.145841,-84.623313,,,,,,0
COL5319i,3219,COLERAIN AVE 5319,,39.187516,-84.569427,,,,,,0
COL5218i,3215,COLERAIN AVE 5218,,39.184868,-84.568031,,,,,,0
COL5032i,3206,COLERAIN AVE 5032,,39.178894,-84.564317,,,,,,0
GL2598o,3349,GLENWAY AVE 2598,2618 GLENWAY AVE & UNKNOWN ALY,39.109255,-84.554284,,,,,,0
8THLINo,4418,8TH ST & LINN ST,W 8TH ST & LINN ST,39.103379,-84.528353,,,,,,0
GLE6200o,1504,GLENWAY AVE 6200,SR 264,39.144699,-84.62317,,,,,,0
MADBROWi,7522,MADISON RD & BROWNWAY AVE,,39.153504,-84.42967,,,,,,0
MADCOLi,7767,MADISON RD & COLLINWOOD PL,,39.162014,-84.412207,,,,,,0
DALGALo,4335,DALY RD & GALBRAITH RD,DALY RD & W GALBRAITH RD,39.216345,-84.530999,,,,,,0
HAMDEAi,3874,HAMILTON AVE & DE ARMOND AVE,,39.214723,-84.54922,,,,,,0
LIBENQi,4029,LIBERTY ST & ENQUIRER BUILDING,W LIBERTY ST & DALTON AVE,39.113913,-84.533257,,,,,,0
WIN4831i,5085,WINNESTE AVE 4831,4831 WINNESTE AVE & DUTCH COLONY DR,39.179562,-84.510563,,,,,,0
DELKROo,7244,DELTA AVE & KROGER AVE,,39.123231,-84.435031,,,,,,0
PAXBALo,7514,PAXTON AVE & BALLARD AVE,,39.150239,-84.425361,,,,,,0
BRO3741o,7747,BROTHERTON RD 3741,,39.153591,-84.410995,,,,,,0
BROALLo,7751,BROTHERTON RD &  ALLENDALE DR,,39.154216,-84.413144,,,,,,0
DELLAWo,7239,DELTA AVE & LAWLER ST,DELTA AVE & DELTA TER,39.120652,-84.43677,,,,,,0
DEL666o,7245,DELTA AVE 666,666 DELTA AVE & KROGER AVE,39.124525,-84.434144,,,,,,0
DELSPEo,7249,DELTA AVE & SPENCERHILL LN,,39.126907,-84.433081,,,,,,0
DELHARo,7447,DELTA AVE & HARDISTY AVE,,39.131163,-84.427815,,,,,,0
DELGRIo,7452,DELTA AVE & GRIEST AVE,,39.134553,-84.426939,,,,,,0
OBSKILo,7457,OBSERVATORY AVE & KILGOUR LN,,39.136757,-84.429064,,,,,,0
OBSGRAo,7271,OBSERVATORY AVE & GRACE AVE,,39.136944,-84.431995,,,,,,0
PAXWASo,7303,PAXTON AVE & WASSON AVE,PAXTON AVE & WASSON RD,39.144475,-84.432929,,,,,,0
PAXWASSo,7304,PAXTON AVE & WASSON AVE,,39.144796,-84.432287,,,,,,0
PAX3765o,7307,PAXTON AVE 3765,3765 PAXTON AVE & FERDINAND PL,39.145724,-84.430465,,,,,,0
PAX4014o,7515,PAXTON AVE 4014,,39.150578,-84.424649,,,,,,0
BROJORo,7749,BROTHERTON RD & JORA LN,,39.154083,-84.418446,,,,,,0
REALANoi,6536,READING RD & LANGDON FARM RD,,39.18473,-84.464884,,,,,,0
MULFLOs,7665,MULHAUSER RD & FLOER RD,,39.322454,-84.429013,,,,,,0
CINSEMi,8064,CINCINNATI DAYTON RD & SEMINARY ST,,39.331285,-84.40699,,,,,,0
CINWESi,7862,CINCINNATI DAYTON RD & WEST CHESTER,CINCINNATI DAYTON RD & WEST CHESTER RD,39.325584,-84.410668,,,,,,0
REA8109i,6870,READING RD 8109,,39.208368,-84.450003,,,,,,0
REA7821i,6863,READING RD 7821,7821 READING RD & SUMMIT RD,39.204584,-84.453824,,,,,,0
REAVACEi,6848,READING RD & VALLEY CENTER,US 42 & AMBERLAWN AVE,39.201167,-84.456511,,,,,,0
REA7155i,6553,READING RD 7155,,39.191012,-84.462444,,,,,,0
REABERi,6481,READING RD & BERKLEY AVE,,39.171961,-84.468044,,,,,,0
REASEYo,6549,READING RD & SEYMOUR AVE,US 42 & SR 561,39.189914,-84.462946,,,,,,0
REA7162o,6554,READING RD 7162,,39.191404,-84.461953,,,,,,0
REA7610o,6849,READING RD 7610,,39.199141,-84.457434,,,,,,0
REA7658o,6851,READING RD 7658,,39.200025,-84.456908,,,,,,0
REA7900o,6864,READING RD 7900,,39.205905,-84.452223,,,,,,0
REA8052o,6869,READING RD 8052,8052 READING RD & CHAUCER DR,39.208074,-84.450026,,,,,,0
REA8200o,7144,READING RD 8200,8200 READING RD & CHAUCER DR,39.209778,-84.448472,,,,,,0
CIN8990o,8062,CINCINNATI DAYTON RD 8990,,39.329144,-84.409789,,,,,,0
CINSEMo,8063,CINCINNATI DAYTON RD & SEMINARY RD,,39.331017,-84.40706,,,,,,0
HAM8097i,3960,HAMILTON AVE 8097,,39.240788,-84.547565,,,,,,0
COMTARi,2479,COMPTON RD & TARGET DRIVEWAY,,39.237342,-84.590542,,,,,,0
COMHOUi,2678,COMPTON RD & HOUSTON ELEMENTARY,,39.238183,-84.58872,,,,,,0
COMBURi,2683,COMPTON RD & BURGESS DR,,39.238728,-84.58063,,,,,,0
MCMWHEi,4564,MCMILLAN ST & WHEELER ST,W MCMILLAN ST & WHEELER ST,39.127824,-84.520141,,,,,,0
COMBURo,2684,COMPTON RD & BURGESS DR,,39.238889,-84.580688,,,,,,0
COMHOUo,2681,COMPTON RD & HOUSTON ELEMENTARY,,39.238343,-84.588825,,,,,,0
DELLAWi,7240,DELTA AVE & LAWLER ST,,39.120706,-84.436969,,,,,,0
BROFIEi,7750,BROTHERTON RD & FIELDING ST,,39.154191,-84.419287,,,,,,0
MARPAXi,7519,MARBURG AVE & PAXTON AVE,,39.151603,-84.422219,,,,,,0
PAX4017i,7516,PAXTON AVE 4017,,39.150729,-84.424742,,,,,,0
PAXTAYi,7513,PAXTON AVE & TAYLOR AVE,,39.149998,-84.426354,,,,,,0
PAXOAKi,7509,PAXTON AVE & OAKPARK PL,PAXTON AVE & OAK PARK PL,39.148749,-84.427662,,,,,,0
PAXMTVi,7306,PAXTON AVE & MT VERNON AVE,PAXTON AVE & WASSON RD,39.145233,-84.431819,,,,,,0
OBSKILi,7456,OBSERVATORY AVE & KILGOUR LN,,39.136614,-84.429345,,,,,,0
DELNILi,7450,DELTA AVE & NILES ST,,39.132795,-84.42729,,,,,,0
DELWILi,7448,DELTA AVE & WILLIS AVE,,39.131582,-84.427757,,,,,,0
DELLINs,7253,DELTA AVE & LINWOOD AVE,SR 561 & EMPRESS ST,39.129262,-84.430478,,,,,,0
