"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"836","0","Highland at Rays - Out","","39.063249","-84.520878","Transit Authority of Northern Kentucky","","0",""
"837","0","Highland at Rays - In","","39.063188","-84.520713","Transit Authority of Northern Kentucky","","0",""
"30226","0","Kenton County Detention Center","","39.003054","-84.531243","Transit Authority of Northern Kentucky","","0",""
"838","0","Emery at Highland - Out","","39.060816","-84.52316","Transit Authority of Northern Kentucky","","0",""
"839","0","Highland at Emery - In","","39.060761","-84.523002","Transit Authority of Northern Kentucky","","0",""
"10611","0","E 6th at Saratoga - In","","39.092365","-84.492096","Transit Authority of Northern Kentucky","","0",""
"10610","0","E 6th at Saratoga - Out","","39.09214","-84.492233","Transit Authority of Northern Kentucky","","0",""
"100390","0","Dixie at Hallem - In","","39.017891","-84.597581","Transit Authority of Northern Kentucky","","0",""
"100150","0","Dixie at Lane - Out","","39.031773","-84.570541","Transit Authority of Northern Kentucky","","0",""
"100395","0","3133 Dixie Highway - In","","39.020144","-84.592325","Transit Authority of Northern Kentucky","","0",""
"10624","0","E 6th at Oak - Out","","39.096056","-84.485296","Transit Authority of Northern Kentucky","","0",""
"30211","0","Convergys - In - Out","","39.043199","-84.610541","Transit Authority of Northern Kentucky","","0",""
"10623","0","E 6th at Linden - In","","39.095712","-84.486076","Transit Authority of Northern Kentucky","","0",""
"10626","0","8th at Washington - Out","","39.090875","-84.488983","Transit Authority of Northern Kentucky","","0",""
"10625","0","E 6th at Oak - In","","39.096216","-84.485189","Transit Authority of Northern Kentucky","","0",""
"10628","0","Holy Trinity High School - Out","","39.1041","-84.4822","Transit Authority of Northern Kentucky","","0",""
"840","0","Highland at Henry Clay - Out","","39.0592","-84.523231","Transit Authority of Northern Kentucky","","0",""
"841","0","929 Highland - In","","39.059388","-84.523066","Transit Authority of Northern Kentucky","","0",""
"600","0","S Ft Thomas at Warren - Out","","39.060968","-84.450101","Transit Authority of Northern Kentucky","","0",""
"601","0","S Ft Thomas at Warren - In","","39.0613","-84.449957","Transit Authority of Northern Kentucky","","0",""
"10629","0","Washington at E 8th - In","","39.090741","-84.488665","Transit Authority of Northern Kentucky","","0",""
"602","0","Brentwood at S Ft Thomas - Out","","39.062137","-84.448459","Transit Authority of Northern Kentucky","","0",""
"30219","0","NorthBend Park and Ride - In","","39.093458","-84.714449","Transit Authority of Northern Kentucky","","0",""
"603","0","S Ft Thomas at Grandview - In","","39.062053","-84.448807","Transit Authority of Northern Kentucky","","0",""
"100145","0","Dixie at Hudson - Out","","39.033067","-84.567663","Transit Authority of Northern Kentucky","","0",""
"605","0","Southview at S Ft Thomas - In","","39.063137","-84.448333","Transit Authority of Northern Kentucky","","0",""
"10620","0","E 6th at Maple - Out","","39.095041","-84.487066","Transit Authority of Northern Kentucky","","0",""
"607","0","S Ft Thomas at Midway - In","","39.065158","-84.446346","Transit Authority of Northern Kentucky","","0",""
"30214","0","Alexandria at Enzweiler - In","","38.97923","-84.393664","Transit Authority of Northern Kentucky","","0",""
"608","0","Pearson at S Ft Thomas - Out","","39.067616","-84.447088","Transit Authority of Northern Kentucky","","0",""
"10622","0","E 6th at Linden - Out","","39.095553","-84.486189","Transit Authority of Northern Kentucky","","0",""
"30217","0","S Main at High - In","","38.864935","-84.610501","Transit Authority of Northern Kentucky","","0",""
"30216","0","E Southern at Huntington - Out","","39.04741","-84.498471","Transit Authority of Northern Kentucky","","0",""
"609","0","S Ft Thomas at Tower Pl - In","","39.067393","-84.44715","Transit Authority of Northern Kentucky","","0",""
"10621","0","E 6th at Maple - In","","39.095221","-84.486969","Transit Authority of Northern Kentucky","","0",""
"100360","0","Dixie at Eastern - In","","39.006324","-84.614218","Transit Authority of Northern Kentucky","","0",""
"100120","0","Dixie at Highland Cemetery - Out","","39.046858","-84.552329","Transit Authority of Northern Kentucky","","0",""
"30200","0","Mineola at Jamike - In","","39.043598","-84.630698","Transit Authority of Northern Kentucky","","0",""
"30202","0","Interstate at 1017 - Out","","39.055679","-84.621642","Transit Authority of Northern Kentucky","","0",""
"25085","0","Winston at 38th - In","","39.046257","-84.503772","Transit Authority of Northern Kentucky","","0",""
"30201","0","Mineola at Jamike - Out","","39.04363","-84.630551","Transit Authority of Northern Kentucky","","0",""
"852","0","Highland at Wrights Point - Out","","39.054391","-84.528451","Transit Authority of Northern Kentucky","","0",""
"610","0","S Ft Thomas at S Crescent - Out","","39.06876","-84.447464","Transit Authority of Northern Kentucky","","0",""
"611","0","S Ft Thomas at S Crescent - In","","39.068674","-84.447575","Transit Authority of Northern Kentucky","","0",""
"612","0","S Ft Thomas at N Crescent - In","","39.069886","-84.447928","Transit Authority of Northern Kentucky","","0",""
"613","0","S Ft Thomas at N Crescent - Out","","39.070117","-84.44783","Transit Authority of Northern Kentucky","","0",""
"100595","0","Industrial at Carole - In","","38.982764","-84.633998","Transit Authority of Northern Kentucky","","0",""
"614","0","S Ft Thomas at Lockwood - Out","","39.070708","-84.446785","Transit Authority of Northern Kentucky","","0",""
